artist,count
Jason Derulo,248
Maroon 5 Featuring Kendrick Lamar,27
Brett Eldredge,135
Lady Gaga,233
Katy Perry,275
Taylor Swift,570
Zayn,29
Justin Timberlake,157
Ed Sheeran,361
Ariana Grande,263
Jonas Brothers,27
Katy Perry Featuring Snoop Dogg,27
Justin Bieber,231
One Direction,279
Major Lazer Featuring Justin Bieber & MO,27
Post Malone Featuring 21 Savage,40
Post Malone Featuring Ty Dolla $ign,39
Lil Wayne Featuring Drake,68
Maroon 5 Featuring Wiz Khalifa,31
Eminem,114
Ariana Grande Featuring Iggy Azalea,25
Katy Perry Featuring Skip Marley,15
Harry Styles,14
Kendrick Lamar,175
The Weeknd,302
Travis Scott,177
Justin Bieber Featuring Ludacris,29
Bruno Mars,380
Lil Wayne Featuring XXXTENTACION,3
Cardi B & Bruno Mars,17
"Jessie J, Ariana Grande & Nicki Minaj",31
Drake,673
J. Cole,190
Ke$ha Featuring 3OH!3,20
B.o.B Featuring Lil Wayne,20
The Chainsmokers,41
The Weeknd & Kendrick Lamar,20
Post Malone,201
Billie Eilish,115
Miley Cyrus,129
Glee Cast,188
Adele,294
Maroon 5,266
Kelly Clarkson,179
BTS Featuring Halsey,8
Lil Wayne Featuring Cory Gunz,21
Drake Featuring Rihanna,63
Nicki Minaj,255
The Chainsmokers Featuring Halsey,52
Drake Featuring Quavo & Travis Scott,16
Justin Timberlake Featuring Chris Stapleton,16
Drake Featuring Michael Jackson,5
Post Malone & Swae Lee,34
Demi Lovato,209
B.o.B,20
Florida Georgia Line,225
Beyonce,204
Kanye West,133
B.o.B Featuring Hayley Williams,30
Kanye West Featuring Pusha T,13
Jason Aldean,368
will.i.am & Britney Spears,24
Ke$ha,163
Lady Gaga Featuring R. Kelly,19
The Carters,20
Machine Gun Kelly,4
Cardi B Featuring 21 Savage,20
Lil Wayne,71
Ariana Grande Featuring Zedd,22
"Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",15
Post Malone Featuring Swae Lee,5
"Jay-Z, Bono, The Edge & Rihanna",2
Coldplay,143
Rihanna,332
Luke Bryan,417
A Great Big World & Christina Aguilera,26
5 Seconds Of Summer,111
Drake Featuring The Throne,20
David Guetta Featuring Justin Bieber,11
Cardi B,91
Post Malone Featuring Nicki Minaj,14
XXXTENTACION,126
Kent Jones,20
Rae Sremmurd Featuring Gucci Mane,27
Kendrick Lamar & SZA,21
Migos,94
Lana Del Rey & Cedric Gervais,23
Jake Owen,185
Train,174
Passenger,43
Brett Young,105
Sam Hunt,156
Bryson Tiller,88
Dan + Shay,148
Eric Church,269
Alessia Cara,124
Sick Puppies,15
Jay Z Kanye West Featuring Frank Ocean,5
Tim McGraw Featuring Faith Hill,19
YoungBoy Never Broke Again Featuring Kevin Gates & Quando Rondo,2
Lukas Graham,57
Hey Violet,5
Blake Shelton,345
Josh Kelley,3
Jerrod Niemann,85
Craig Campbell,31
Carly Pearce,17
Chris Janson,44
Kip Moore,81
Miguel,93
Lauv,41
Cole Swindell,152
MAX Featuring gnash,27
Sage The Gemini Featuring Nick Jonas,8
Big & Rich,24
Wisin Featuring Ozuna,20
Hot Chelle Rae Featuring New Boyz,20
"benny blanco, Tainy, Selena Gomez & J Balvin",5
Nicki Minaj Featuring Lil Wayne,23
Miranda Lambert,204
G-Eazy x Bebe Rexha,37
Sean Paul Featuring Alexis Jordan,6
Lee Brice,171
Tim McGraw,176
RaeLynn,16
Randy Houser,83
The Ready Set,21
Keyshia Cole Featuring Lil Wayne,9
Brantley Gilbert,129
Chris Young,213
George Strait,91
Imagine Dragons,407
Kanye West Jay Z,7
Juice WRLD,122
Lil Wayne Featuring Big Sean,13
Fifth Harmony Featuring Gucci Mane,10
Future Featuring The Weeknd,38
NF,49
Shontelle,20
Marshmello & Anne-Marie,29
Rich Homie Quan,47
2 Chainz,31
G-Eazy Featuring A$AP Rocky & Cardi B,28
Enrique Iglesias Featuring Sammy Adams,14
Hailee Steinfeld,32
Alexandra Stan,20
Lady Antebellum,282
"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",15
Mumford & Sons,115
Fall Out Boy,118
Playboi Carti,20
Trey Songz,170
Rich Gang Featuring Young Thug & Rich Homie Quan,25
Sevyn Streeter Featuring Chris Brown,20
Avicii,100
Calvin Harris & Dua Lipa,21
Carrie Underwood,271
Dierks Bentley,194
The Band Perry,178
American Authors,36
Love And Theft,20
Kenny Chesney,242
Pinkfong,20
Eminem Featuring Ed Sheeran,12
Kenny Chesney Featuring P!nk,20
Mike Posner Featuring Lil Wayne,16
Javier Colon,6
Katy Perry Featuring Juicy J,57
Glee Cast Featuring Gwyneth Paltrow,12
T.I. Featuring Eminem,5
Enrique Iglesias With Usher Featuring Lil Wayne,12
B.o.B Featuring Taylor Swift,19
Jennifer Lopez Featuring Iggy Azalea Or Pitbull,9
Beyonce Featuring The Weeknd,3
